,Title,Subtitle,Composer,Orig. composer,Source,Document,Volume,Date,Page,Editor,Encoder,Arranger,Intabulator,Contributor,Concordances,Piece,Section,Type,Key,Difficulty,Ensemble,Part,Remarks,Recording,Facsimile,Fronimo,PDF,Midi,Created,Modified,song_text,text_length
975,Fire! Fire!,,Thomas Campion,,Thomas Campion,Third book of ayres,,1617,#20,Sarge Gerbode,Sarge Gerbode,,,,,Fire! Fire!,,lute song,GM,2.0,"6-course, soprano",score,,,,https://lutemusic.org/sources/CampionT/songs/book_3/20_fire_fire/20_fire_fire.ft3,https://lutemusic.org/sources/CampionT/songs/book_3/20_fire_fire/pdf/20_fire_fire.pdf,https://lutemusic.org/sources/CampionT/songs/book_3/20_fire_fire/midi/20_fire_fire.mid,1573937410,1586042064,"fire! fire! fire! fire! lo, here i burn, i burn in such desire, that all the tears that i can strain out of mine idle empty brain cannot allay my scorching pain. come, trent and humber and fair thames, dread ocean, haste with all thy streams, and if you cannot quench my fre, o drown both me, o drown both me and my desire. sire. fire! fire! fire! fire! there is no hell, no hell to my desire. see all the rivers backward fly, and th'ocean doth his waves deny, for fear my heat should drink them dry. come, heav'nly show'rs then pouring down, come, you that once the world did drown. some then you spared, but now save all that else must burn, that else must burn and with me fall. fall.",687
977,O sweet delight,,Thomas Campion,,Thomas Campion,Third book of ayres,,1617,#21,Sarge Gerbode,Sarge Gerbode,,,,,O sweet delight,,lute song,Cm,2.0,"6-course, soprano",score,,,,https://lutemusic.org/sources/CampionT/songs/book_3/21_o_sweet_delight/21_o_sweet_delight.ft3,https://lutemusic.org/sources/CampionT/songs/book_3/21_o_sweet_delight/pdf/21_o_sweet_delight.pdf,https://lutemusic.org/sources/CampionT/songs/book_3/21_o_sweet_delight/midi/21_o_sweet_delight.mid,1573937410,1586042064,"o sweet delight, o more than human bliss, with her to live that ever loving is! to hear her speak whose words so well are placed, that she by them, as they in her, are graced; those looks to view that feast the viewer's eye, how blest is he that may so live and die! such love as this the golden times did know, when all did reap, yet none took care to sow. such love as this an endless summer makes, and all distaste from frail affection takes. so lov'd, so blest in my belov'd am i, which till their eyes ache, let iron men envy.",531
979,Thus I resolve,,Thomas Campion,,Thomas Campion,Third book of ayres,,1617,#22,Sarge Gerbode,Sarge Gerbode,,,,,Thus I resolve,,lute song,Gm,2.0,"6-course, soprano",score,,,,https://lutemusic.org/sources/CampionT/songs/book_3/22_thus_i_resolve/22_thus_i_resolve.ft3,https://lutemusic.org/sources/CampionT/songs/book_3/22_thus_i_resolve/pdf/22_thus_i_resolve.pdf,https://lutemusic.org/sources/CampionT/songs/book_3/22_thus_i_resolve/midi/22_thus_i_resolve.mid,1573937410,1586042064,"thus i resolve, and time hath taught me so, since she is fair and ever kind to me. thoughshe be wild and wantonlike in show, those little stains in youth i will not see. that she be constant,heav'n i oft implore. if prayers prevail not, i can do no more. palmtree the more you press, the more it grows; leave it alone, it will not much exceed. free beauty if you strive to yoke, you lose, and for affections strange distaste you breed. what nature hath not taught, no art can frame. wildborn, be wild still, though by force made tame.",534
981,"Come, O come, my life's delight",,Thomas Campion,,Thomas Campion,Third book of ayres,,1617,#23,Sarge Gerbode,Sarge Gerbode,,,,,"Come, O come, my life's delight",,lute song,Gm,2.0,"6-course, soprano",score,,,,https://lutemusic.org/sources/CampionT/songs/book_3/23_come_o_come_my_lifes_delight/23_come_o_come_my_lifes_delight.ft3,https://lutemusic.org/sources/CampionT/songs/book_3/23_come_o_come_my_lifes_delight/pdf/23_come_o_come_my_lifes_delight.pdf,https://lutemusic.org/sources/CampionT/songs/book_3/23_come_o_come_my_lifes_delight/midi/23_come_o_come_my_lifes_delight.mid,1573937410,1586042064,"thou all sweetness dost enclose like a little world of bliss. love loves no delay; thy sight the more enbeauty guards thy looks. the rose in them pure joyed the more divine. o come, and take from me the pain of and eternal is. come then, and make thy flight as swift to f a  being depriv'd of thee. o thee. me as heav'nly light. come light.",340
983,Could my heart,,Thomas Campion,,Thomas Campion,Third book of ayres,,1617,#24,Sarge Gerbode,Sarge Gerbode,,,,,Could my heart,,lute song,FM,2.0,"7-course, alto",score,,,,https://lutemusic.org/sources/CampionT/songs/book_3/24_could_my_heart_more_tongues_employ/24_could_my_heart_more_tongues_employ.ft3,https://lutemusic.org/sources/CampionT/songs/book_3/24_could_my_heart_more_tongues_employ/pdf/24_could_my_heart_more_tongues_employ.pdf,https://lutemusic.org/sources/CampionT/songs/book_3/24_could_my_heart_more_tongues_employ/midi/24_could_my_heart_more_tongues_employ.mid,1573937410,1586042064,"could my heart more tongues employ than it harbours thoughts of grief; it is now so far from joy that it scarce could ask relief. truest hearts by deeds unso as if they did all foreknow. happy minds that can redeem their engagements how they please, that no joys or hopes esteem half so precious as their ease. wisdom should prepare men blest than to lose all that is best. yet no art or caution can grown affections eas'ly change. use is such a lord of man that he kind to despair are most inclined.",500
985,"Sleep, angry beauty",,Thomas Campion,,Thomas Campion,Third book of ayres,,1617,#25,Sarge Gerbode,Sarge Gerbode,,,,,"Sleep, angry beauty",,lute song,FM,2.0,"7-course, soprano",score,,,,https://lutemusic.org/sources/CampionT/songs/book_3/25_sleep_angry_beauty/25_sleep_angry_beauty.ft3,https://lutemusic.org/sources/CampionT/songs/book_3/25_sleep_angry_beauty/pdf/25_sleep_angry_beauty.pdf,https://lutemusic.org/sources/CampionT/songs/book_3/25_sleep_angry_beauty/midi/25_sleep_angry_beauty.mid,1573937410,1586042064,"sleep, angry beauty, sleep, and fear not me. for who a sleeping lion dares provoke? it shall suffice me here to sit and see those lips shut up that never kindly spoke.what sight can more content a lover's mind than beau ty seeming harmless, if not kind? my words have charm'd her, for secure she sleeps, though guilty much of wrong done to my love. and in her slumber, see, she closeeyed weeps. dreams often more thanwaking plead,sleep, my cause, and make her soft like thee, that she in peace may wake, and pity me.",516
987,"Silly boy, 'tis full moon yet",,Thomas Campion,,Thomas Campion,Third book of ayres,,1617,#26,Sarge Gerbode,Sarge Gerbode,,,,,"Silly boy, 'tis full moon yet",,lute song,GM,2.0,"6-course, alto",score,,,,https://lutemusic.org/sources/CampionT/songs/book_3/26_silly_boy_tis_full_moon_yet/26_silly_boy_tis_full_moon_yet.ft3,https://lutemusic.org/sources/CampionT/songs/book_3/26_silly_boy_tis_full_moon_yet/pdf/26_silly_boy_tis_full_moon_yet.pdf,https://lutemusic.org/sources/CampionT/songs/book_3/26_silly_boy_tis_full_moon_yet/midi/26_silly_boy_tis_full_moon_yet.mid,1573937410,1586042064,"silly boy, 'tis full moon yet, thy night as day shines clearly. had thy youth but wit to fear, thou could'st not love so dearly. shortly wilt thou mourn when all thy pleasures are bereaved; little knows he how to love that never was deceived. this is thy first maiden flame that triumphs yet unstained. all is artless now you speak, not one word yet is feigned. all is heav'n that you behold, and all your thoughts are blessed. but now no spring can want his fall, each troilus hath his cressid. thy wellorder'd locks ere long shall rudely hang neglected; and thy lively pleasant cheer read grief on earth dejected. much then wilt thou blame thy saint, that made thy heart so holy; and with sighs confess in love that too much faith is folly. yet be just and constant still, love may beget a wonder, not unlike a summer's frost, or winter's fatal thunder. he that holds his sweetheart true unto his day of dying. lives of all that ever breath'd most worthy the envying.",969
989,Never love unless you can,,Thomas Campion,,Thomas Campion,Third book of ayres,,1617,#27,Sarge Gerbode,Sarge Gerbode,,,,,Never love unless you can,,lute song,BbM,2.0,"6-course, soprano",score,,,,https://lutemusic.org/sources/CampionT/songs/book_3/27_never_love_unless_you_can/27_never_love_unless_you_can.ft3,https://lutemusic.org/sources/CampionT/songs/book_3/27_never_love_unless_you_can/pdf/27_never_love_unless_you_can.pdf,https://lutemusic.org/sources/CampionT/songs/book_3/27_never_love_unless_you_can/midi/27_never_love_unless_you_can.mid,1573937410,1586042064,"never love unless you can bear with all the faults of man. men sometimes will jealous be, though but truly serv'd in one. for what is courtship but disguise? true hearts may have dissembling eyes. men that but one saint adore make a show of love to more. beauty must be scorn'd in none, and not ever sit and talk. if these and such like you can bear, then like and love and never fear. men when their affairs require must awhile themthough but little cause they see, and hang the head as discontent, and speak what straight they will repent.",541
991,"So quick, so hot, so mad",,Thomas Campion,,Thomas Campion,Third book of ayres,,1617,#28,Sarge Gerbode,Sarge Gerbode,,,,,"So quick, so hot, so mad",,lute song,GM,2.0,"6-course, soprano",score,,,,https://lutemusic.org/sources/CampionT/songs/book_3/28_so_quick_so_hot_so_mad/28_so_quick_so_hot_so_mad.ft3,https://lutemusic.org/sources/CampionT/songs/book_3/28_so_quick_so_hot_so_mad/pdf/28_so_quick_so_hot_so_mad.pdf,https://lutemusic.org/sources/CampionT/songs/book_3/28_so_quick_so_hot_so_mad/midi/28_so_quick_so_hot_so_mad.mid,1573937410,1586042064,"so quick so hot, so mad is thy fond suit, so rude, so tedious grown in urging me. that fain i would with loss make thy tongue mute, and yield some little grace to quiet thee. an hour with thee i care not to converse, for i would not be counted too perverse. but roofs too hot would prove for men all fire; and hills too high for my unused pace. the grove is charg'd with thorns and the bold briar; grey snakes the meadows shroud in ev'ry place. a yellow frog, alas will fright me so as i should start and tremble as i go. since then i can on earth no fit room find, in heav'n i am resolv'd with you to meet. till then for hope's sweet sake rest your tired mind, and not so much as see me in the street. a heav'nly meeting one day we shall have, but never, as you dream, in bed or grave.",786
993,Shall I then hope?,,Thomas Campion,,Thomas Campion,Third book of ayres,,1617,#29,Sarge Gerbode,Sarge Gerbode,,,,,Shall I then hope?,,lute song,GM,2.0,"6-course, soprano",score,,,,https://lutemusic.org/sources/CampionT/songs/book_3/29_shall_i_then_hope/29_shall_i_then_hope.ft3,https://lutemusic.org/sources/CampionT/songs/book_3/29_shall_i_then_hope/pdf/29_shall_i_then_hope.pdf,https://lutemusic.org/sources/CampionT/songs/book_3/29_shall_i_then_hope/midi/29_shall_i_then_hope.mid,1573937410,1586042064,"shall i then hope when faith is fled? can i seek love when hope is gone? or can i live when love is dead? poorly he lives that can love none. her vows are broke, and i am free, she lost her faith in losing me. when i compare mine own events, when i weigh others like annoy, all do but heap up discontents that on a beauty build their joy. thus i of all complain, since she all faith hath lost in losing me. so my dear freedom have i gain'd through her unkindness and disgrace. yet could i ever live enchain'd, as she my service did embrace. but she is chang'd, and i am free, faith failing her, love died in me.",611
995,Leave prolonging thy distress,,Thomas Campion,,Thomas Campion,Fourth book of ayres,,1617,#1,Sarge Gerbode,Sarge Gerbode,,,,,Leave prolonging thy distress,,lute song,Gm,2.0,"6-course, alto",score,,,,https://lutemusic.org/sources/CampionT/songs/book_4/01_leave_prolonging_thy_distress/01_leave_prolonging_thy_distress.ft3,https://lutemusic.org/sources/CampionT/songs/book_4/01_leave_prolonging_thy_distress/pdf/01_leave_prolonging_thy_distress.pdf,https://lutemusic.org/sources/CampionT/songs/book_4/01_leave_prolonging_thy_distress/midi/01_leave_prolonging_thy_distress.mid,1573937410,1586042064,"leave prolonging, leave prolong ing thy distress; all delays afflict the dying. many lost sighs long i spent, to her for mercy crying. but now, vain mourning, cease; i'll die, i'll die alone through her despite. her despite. thus departing, thus departing from this light to those shades that end all sorrow, yet a small time of complaint, a little breath i'll borrow. to tell my once delight i die, i",401
997,Respect my faith,,Thomas Campion,,Thomas Campion,Fourth book of ayres,,1617,#2,Sarge Gerbode,Sarge Gerbode,,,,,Respect my faith,,lute song,Gm,2.0,"6-course, soprano",score,,,,https://lutemusic.org/sources/CampionT/songs/book_4/02_respect_my_faith/02_respect_my_faith.ft3,https://lutemusic.org/sources/CampionT/songs/book_4/02_respect_my_faith/pdf/02_respect_my_faith.pdf,https://lutemusic.org/sources/CampionT/songs/book_4/02_respect_my_faith/midi/02_respect_my_faith.mid,1573937410,1586042064,"respect my faith, regard my service past; the hope you wing'd, call home to you at last. great prize it is that i in you shall gain, so great for you hath been my loss and pain. my wits i spent, and time, for you alone, observing you and losing all for one. my one. some raised to rich esstates in this time are, that held their hopes to mine inferior far. such, scoffing me or pitying me, say thus: had he not lov'd, he might have liv'd like us. o then, dear sweet, for love and pity's sake my faith reward, and from me scandal take. o take.",542
999,"Thou joyest, fond boy",,Thomas Campion,,Thomas Campion,Fourth book of ayres,,1617,#3,Sarge Gerbode,Sarge Gerbode,,,,,"Thou joyest, fond boy",,lute song,Gm,2.0,"6-course, soprano",score,,,,https://lutemusic.org/sources/CampionT/songs/book_4/03_thou_joyest_fond_boy/03_thou_joyest_fond_boy.ft3,https://lutemusic.org/sources/CampionT/songs/book_4/03_thou_joyest_fond_boy/pdf/03_thou_joyest_fond_boy.pdf,https://lutemusic.org/sources/CampionT/songs/book_4/03_thou_joyest_fond_boy/midi/03_thou_joyest_fond_boy.mid,1573937410,1586042064,"thou joy'st, fond boy, to be by many loved, to have thy beauty of most dames approved. for this thou dost thy native one brave act hath prov'd a story. but if that one ten thousand their rough steeds,their harden'd nerves to fit for better deeds. is't not more counsel'st more t'adorn thy skin, that first should than women'sweakness take with looks or words? conquest with one to live true,than ev'ry hour to triumph, lord of new. men that do noble things all purchase glory. one man for like too much to cloy the chamber. youths should the field affect, heat worth disguise, and play'st the sycophant t'observe their eyes. thy glass thou dames o'ercame, who would record it if not to his shame? 'tis far more school thee to be fair within. joy strongholds to force with swords",778
1001,"Veil, Love, mine eyes",,Thomas Campion,,Thomas Campion,Fourth book of ayres,,1617,#4,Sarge Gerbode,Sarge Gerbode,,,,,"Veil, Love, mine eyes",,lute song,Gm,2.0,"6-course, soprano",score,,,,https://lutemusic.org/sources/CampionT/songs/book_4/04_veil_love_mine_eyes/04_veil_love_mine_eyes.ft3,https://lutemusic.org/sources/CampionT/songs/book_4/04_veil_love_mine_eyes/pdf/04_veil_love_mine_eyes.pdf,https://lutemusic.org/sources/CampionT/songs/book_4/04_veil_love_mine_eyes/midi/04_veil_love_mine_eyes.mid,1573937410,1586042064,"veil, love, mine eyes. o hide from me the plagues that charge the curious mind. if beauty private will not be, suffice it yet that she proves kind. who can usurp heav'n's light alone? stars were not made, stars were not made to shine on one. griefs past recure fools try to heal, that greater harms on less inflict. the pure offend by too much zeal; affection should not be too strict. he that a true embrace will find, to beauty's faults, to beauty's faults must still be blind.",479
1003,Every dame affects good fame,,Thomas Campion,,Thomas Campion,Fourth book of ayres,,1617,#5,Sarge Gerbode,Sarge Gerbode,,,,,Every dame affects good fame,,lute song,FM,2.0,"7-course, soprano",score,,,,https://lutemusic.org/sources/CampionT/songs/book_4/05_every_dame_affects_good_fame/05_every_dame_affects_good_fame.ft3,https://lutemusic.org/sources/CampionT/songs/book_4/05_every_dame_affects_good_fame/pdf/05_every_dame_affects_good_fame.pdf,https://lutemusic.org/sources/CampionT/songs/book_4/05_every_dame_affects_good_fame/midi/05_every_dame_affects_good_fame.mid,1573937410,1586042064,"ev'ry dame affects good fame, whate'er her doings be; but true praise is virtue's bays, which. none may wear but she. borrowed guise fits not the wise; a simple look is best; native grace becomes a face, though ne'er so rudely dress'd. now such newfound toys are sold these women to disguise, that before the year grows old the newest fashion dies. dames of yore contended more in goodness to exceed, than in pride to be envied for that which least they need. little lawn then serv'd the pawn, if pawn at all there were. homespun thread and household bread then held out all the year. but th'attires of women now wear out both house and land, that the wives in silks may flow, at ebb the good men stand. once again, astraea, then from heav'n to earth decend, and vouchsafe in their behalf these errors to amend. aid from heav'n must make all even, things are so out of frame; for let man strive all he can, he needs must please his dame. happy man content that gives, and what he gives enjoys. harpy dame content that lives, and",1028
1005,So sweet is thy discourse,,Thomas Campion,,Thomas Campion,Fourth book of ayres,,1617,#6,Sarge Gerbode,Sarge Gerbode,,,,,So sweet is thy discourse,,lute song,Gm,2.0,"6-course, soprano",score,,,,https://lutemusic.org/sources/CampionT/songs/book_4/06_so_sweet_is_thy_discourse/06_so_sweet_is_thy_discourse.ft3,https://lutemusic.org/sources/CampionT/songs/book_4/06_so_sweet_is_thy_discourse/pdf/06_so_sweet_is_thy_discourse.pdf,https://lutemusic.org/sources/CampionT/songs/book_4/06_so_sweet_is_thy_discourse/midi/06_so_sweet_is_thy_discourse.mid,1573937410,1586042064,"so sweet so sweet is thy discourse to me, and so delightful is thy sight, as i taste nothing right but thee. o why invented nature light? was it alone for beauty's sake, that her graced words might better take? no more, no more can i old joys recall; they now to me become unknown, not seeming to have been at all. alas, how soon is this love grown to such a spreading height in me, as with it all must shadow'd be.",415
1007,There is a garden in her face,,Thomas Campion,,Thomas Campion,Fourth book of ayres,,1617,#7,Sarge Gerbode,Sarge Gerbode,,,,,There is a garden in her face,,lute song,GM,2.0,"6-course, soprano",score,,,,https://lutemusic.org/sources/CampionT/songs/book_4/07_there_is_a_garden_in_her_face/07_there_is_a_garden_in_her_face.ft3,https://lutemusic.org/sources/CampionT/songs/book_4/07_there_is_a_garden_in_her_face/pdf/07_there_is_a_garden_in_her_face.pdf,https://lutemusic.org/sources/CampionT/songs/book_4/07_there_is_a_garden_in_her_face/midi/07_there_is_a_garden_in_her_face.mid,1573937410,1586042064,"there is a garden in her face, where roses and white lilies grow; a heav'nly paradise is that place, wherein all pleasant fruits do grow. there cherries hang which none may buy, till cherry ripe, till cherry ripe, till cherry those cherries fairly do enclose of orient pearl a double row, which when her lovely laughter shows, they look like rosebuds fill'd with snow. yet them nor peer nor prince can ripe, cherry ripe, ripe, ripe, cherry ripe, cherry her eyes like angels watch them still; her brows like bended bows do stand, threat'ning with piercing frowns to kill all that attempt with eye or hand. those sacred cherries to come ripe themselves do cry.",658
1009,To his sweet lute Apollo sung,,Thomas Campion,,Thomas Campion,Fourth book of ayres,,1617,#8,Sarge Gerbode,Sarge Gerbode,,,,,To his sweet lute Apollo sung,,lute song,GM,2.0,"6-course, soprano",score,,,,https://lutemusic.org/sources/CampionT/songs/book_4/08_to_his_sweet_lute/08_to_his_sweet_lute.ft3,https://lutemusic.org/sources/CampionT/songs/book_4/08_to_his_sweet_lute/pdf/08_to_his_sweet_lute.pdf,https://lutemusic.org/sources/CampionT/songs/book_4/08_to_his_sweet_lute/midi/08_to_his_sweet_lute.mid,1573937410,1586042064,"to his sweet lute apollo sung the motions of the spheres, the wondrous order of the stars whose course divides the years, and all the mysteries above. but none of this could midas then pan with his rude pipe began the countrywealth t'advance, to boast of cattle, flocks of move, which purchased him his ass's ears. this wrong the god of music scorn'd from such a sottish judge, and bent his angry bow at",403
1011,Young and simple though I am,,Thomas Campion,,Thomas Campion,Fourth book of ayres,,1617,#9,Sarge Gerbode,Sarge Gerbode,,,,,Young and simple though I am,,lute song,GM,2.0,"6-course, soprano",score,,,,https://lutemusic.org/sources/CampionT/songs/book_4/09_young_and_simple_though_i_am/09_young_and_simple_though_i_am.ft3,https://lutemusic.org/sources/CampionT/songs/book_4/09_young_and_simple_though_i_am/pdf/09_young_and_simple_though_i_am.pdf,https://lutemusic.org/sources/CampionT/songs/book_4/09_young_and_simple_though_i_am/midi/09_young_and_simple_though_i_am.mid,1573937410,1586042064,"young and simple though i am, i have heard of cupid's name. guess i can what thing it is, men desire when they do kiss. who shall not, i soon can tell; who shall, would i could as well! roses that are overblown grow less sweet, then fall alone. i am not so foul or fair to be proud, nor to despair. yet my lips have oft observ'd, men that kiss them press too hard, smoke can never burn, they say, but the flames that follow may. this i know, who e'er he be, love he must or flatter me. faith, 'tis but a foolish mind. yet methinks a heat i find, like thirst longing that doth bide ever on my weaker side, as glad lovers use to do, when their newmet loves they woo. if it be, a las, what then? were not women made for men? as good 'twere a thing were past, that must needs be done at last. where they say my heart doth move. venus, grant it be not love!",852
1013,Love me or not,,Thomas Campion,,Thomas Campion,Fourth book of ayres,,1617,#10,Sarge Gerbode,Sarge Gerbode,,,,,Love me or not,,lute song,Gm,2.0,"6-course, soprano",score,,,,https://lutemusic.org/sources/CampionT/songs/book_4/10_love_me_or_not/10_love_me_or_not.ft3,https://lutemusic.org/sources/CampionT/songs/book_4/10_love_me_or_not/pdf/10_love_me_or_not.pdf,https://lutemusic.org/sources/CampionT/songs/book_4/10_love_me_or_not/midi/10_love_me_or_not.mid,1573937410,1586042064,"all my desire, all my delight should be leave me or not, follow her needs must i. her would i charm softly that none should hear. envy should cease, her would i love alone; how rich in her, how happy should i live. so would i love that neither should repent. could i enchant, and that it lawful were, her to enjoy, her to unite to me. o that her grace would my wish'd comforts give! but love enforc'd rarely yields firmcontent, who loves by looks is seldom true to one.",469
1015,What means this folly?,,Thomas Campion,,Thomas Campion,Fourth book of ayres,,1617,#11,Sarge Gerbode,Sarge Gerbode,,,,,What means this folly?,,lute song,Gm,2.0,"6-course, soprano",score,,,,https://lutemusic.org/sources/CampionT/songs/book_4/11_what_means_this_folly/11_what_means_this_folly.ft3,https://lutemusic.org/sources/CampionT/songs/book_4/11_what_means_this_folly/pdf/11_what_means_this_folly.pdf,https://lutemusic.org/sources/CampionT/songs/book_4/11_what_means_this_folly/midi/11_what_means_this_folly.mid,1573937410,1586042064,"what means this folly now to brave it so, and then to use submission? is that a friend that straight can play the foe? who loves on such condition? is on? though briars breed roses, none the briar affect, but with the flow'r are pleased. love only loves delight and soft respect, he must not be diseased. love ed. these thorny passions spring from barren breasts, or such as need much weeding. but sends them not home bleeding. ing. command thy humour, strive to give content, and shame not love's profession. of kindness never an y could repent, that made choice with discreti on. of on.",588
1017,"Dear, if I with guile",,Thomas Campion,,Thomas Campion,Fourth book of ayres,,1617,#12,Sarge Gerbode,Sarge Gerbode,,,,,"Dear, if I with guile",,lute song,BbM,2.0,"6-course, soprano",score,,,,https://lutemusic.org/sources/CampionT/songs/book_4/12_dear_if_i_with_guile/12_dear_if_i_with_guile.ft3,https://lutemusic.org/sources/CampionT/songs/book_4/12_dear_if_i_with_guile/pdf/12_dear_if_i_with_guile.pdf,https://lutemusic.org/sources/CampionT/songs/book_4/12_dear_if_i_with_guile/midi/12_dear_if_i_with_guile.mid,1573937410,1586042064,"dear, if i with guile would gild a true intent, heaping flatt'ries that in heart were never meant, eas'ly could i then obtain what now in vain i force; falsehood much doth gain, truth yet holds the better course. a f  love forbid that through dissembling i should thrive, or in praising you myself of truth deprive. let not your high thoughts debase a simple truth in me. great is beauty's grace, truth is yet as fair as she. praise is but the wind of pride if it exceeds. wealth prized in itself no outward value needs. fair you are and passing fair, you know it and 'tis true. yet let none despair, but to find as fair as you.",628
1019,"O Love, where are thy shafts?",,Thomas Campion,,Thomas Campion,Fourth book of ayres,,1617,#13,Sarge Gerbode,Sarge Gerbode,,,,,"O Love, where are thy shafts?",,lute song,Gm,2.0,"6-course, soprano",score,,,,https://lutemusic.org/sources/CampionT/songs/book_4/13_o_love_where_are_thy_shafts/13_o_love_where_are_thy_shafts.ft3,https://lutemusic.org/sources/CampionT/songs/book_4/13_o_love_where_are_thy_shafts/pdf/13_o_love_where_are_thy_shafts.pdf,https://lutemusic.org/sources/CampionT/songs/book_4/13_o_love_where_are_thy_shafts/midi/13_o_love_where_are_thy_shafts.mid,1573937410,1586042064,"o love, where are thy shafts, thy quiver and thy bow? shall my wounds only weep, and he ungaged go? be f f e a f love, thou know'st by right i should not thus complain. no eyes are like to thine, though men suppose thee blind; so fair they level when the mark they list to find. then just and strike him too that dares contemn thee so. is my fond sight deceiv'd, or do i cupid spy close aiming at his breast, by whom despised i die? shoot strike, o strike the heart that bears the cruel mind. o then we both will sit in some unhaunted shade, and heal each other's wound, which love hath justly made. o home,. sweet love and wound him that he may not fly. at large he wanders still, his heart is free from pain; while secret sighs i spend and tears, but all in vain. yet, hope! o thought too vain! how quickly dost thou fade!",824
1021,Beauty is but a painted hell,,Thomas Campion,,Thomas Campion,Fourth book of ayres,,1617,#14,Sarge Gerbode,Sarge Gerbode,,,,,Beauty is but a painted hell,,lute song,GM,2.0,"6-course, soprano",score,,,,https://lutemusic.org/sources/CampionT/songs/book_4/14_beauty_is_but_a_painted_hell/14_beauty_is_but_a_painted_hell.ft3,https://lutemusic.org/sources/CampionT/songs/book_4/14_beauty_is_but_a_painted_hell/pdf/14_beauty_is_but_a_painted_hell.pdf,https://lutemusic.org/sources/CampionT/songs/book_4/14_beauty_is_but_a_painted_hell/midi/14_beauty_is_but_a_painted_hell.mid,1573937410,1586042064,"beauty is but a painted hell. ay me! ay me! she wounds them that admire it; she of dissembled sorrow, constant vows turn truthless; is the excess of sadness. pity from ev'ry heart is fled. ay me! ay me! since false desire could borrow tears liv'd too true a lover. the first step to madness sorrow can laugh and fury sing. ay me! ay me! my kills them that desire it. give her pride but fuel, love cruel, beauty ruthless.",420
1023,Are you what your fair looks express?,,Thomas Campion,,Thomas Campion,Fourth book of ayres,,1617,#15,Sarge Gerbode,Sarge Gerbode,,,,,Are you what your fair looks express?,,lute song,Fm,3.0,"6-course, alto",score,,,,https://lutemusic.org/sources/CampionT/songs/book_4/15_are_you_what_your_fair_looks_express/15_are_you_what_your_fair_looks_express.ft3,https://lutemusic.org/sources/CampionT/songs/book_4/15_are_you_what_your_fair_looks_express/pdf/15_are_you_what_your_fair_looks_express.pdf,https://lutemusic.org/sources/CampionT/songs/book_4/15_are_you_what_your_fair_looks_express/midi/15_are_you_what_your_fair_looks_express.mid,1573937410,1586042064,"are you what your fair looks express? o then be kind! from law of nature they digress, whose form suits not their mind. fairness seen in th'outward shape is but the inward beauty's ape. eyes that of earth are mortal made what can they view? all's but a colour or a shade, and neither always true. reason's sight that is eterne e'en the substance can discern. soul is the man: for who will so the body name? and to that pow'r all grace we owe that decks our living frame. what or how had housen been but for them that dwell therein? love in the bosom is begot, not in the eyes. no beauty makes the eye more hot, her flames the sprite surprise. let our loving minds then meet, for pure meetings are most sweet.",708
1025,"Since she, even she",,Thomas Campion,,Thomas Campion,Fourth book of ayres,,1617,#16,Sarge Gerbode,Sarge Gerbode,,,,,"Since she, even she",,lute song,Gm,2.0,"7-course, soprano",score,,,,https://lutemusic.org/sources/CampionT/songs/book_4/16_since_she_even_she/16_since_she_even_she.ft3,https://lutemusic.org/sources/CampionT/songs/book_4/16_since_she_even_she/pdf/16_since_she_even_she.pdf,https://lutemusic.org/sources/CampionT/songs/book_4/16_since_she_even_she/midi/16_since_she_even_she.mid,1573937410,1586042064,"since she, e'en she for whom i lived, sweet she, by fate from a f a waters write, 'tis their best medicine that are pain'd, all thought to lose of past delight. o would my anguish vanish so! be't either true or aptly feign'd that some of lethe's me is torn, why am not i of sense depriv'd, forgetting i was ever born? why should i languish, hating light? happy are they that neither know.",388
1027,I must complain,,Thomas Campion,,Thomas Campion,Fourth book of ayres,,1617,#17,Sarge Gerbode,Sarge Gerbode,,,,,I must complain,,lute song,Gm,2.0,"6-course, soprano",score,,,,https://lutemusic.org/sources/CampionT/songs/book_4/17_i_must_complain/17_i_must_complain.ft3,https://lutemusic.org/sources/CampionT/songs/book_4/17_i_must_complain/pdf/17_i_must_complain.pdf,https://lutemusic.org/sources/CampionT/songs/book_4/17_i_must_complain/midi/17_i_must_complain.mid,1573937410,1586042064,"i must complain, yet do enjoy my love. she is too f a pugnant to mine own desires. she is admir'd, new lovers still repair that kindles daily love's forgetful fires. rest, jealous thoughts, and thus reful of hue, she had no leisure left to make her true. should i, aggriev'd, then wish she were less fair? that were refair, too rich in lovely parts. thence is my grief; for nature, while she strove with all her graces and divinest arts to form her too too beautif a solve at last: she hath more beauty than becomes the chaste.",527
